Camp Name,Camp Name,Park Name,Park Code,Amenities
44,Belle Fourche River Campground,Devils Tower,deto,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
45,Belle Isle Campground,Isle Royale,isro,"{'trashRecyclingCollection': 'No', 'toilets': ['Composting Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Water', ' but not potable'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
46,Benchmark Individual Backpacking Sites,Pictured Rocks,piro,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Water', ' but not potable'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - seasonal'}"
47,Bicentennial Campground,Golden Gate,goga,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - year round'}"
48,Big Creek Campground,Great Smoky Mountains,grsm,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
49,Big Meadows Campground,Shenandoah,shen,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['Coin-Operated - Seasonal'], 'cellPhoneReception': 'No', 'laundry': 'Yes - seasonal', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'Yes - seasonal', 'campStore': 'Yes - seasonal', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'Yes - seasonal', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'Yes - seasonal'}"
50,Big Seboeis Campsite,Katahdin Woods And Waters,kaww,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
51,Big Spring Brook Campsite,Katahdin Woods And Waters,kaww,"{'trashRecyclingCollection': 'No', 'toilets': ['No Toilets'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
52,Big Spring Brook Hut,Katahdin Woods And Waters,kaww,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
53,Big Spring Campground,Ozark National Scenic Riverway,ozar,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Flush Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['Hot - Seasonal', 'Free - Seasonal'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'Yes - year round', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
